,Tarih,Açılış,Yüksek,Düşük,Kapanış,Adj_Kapanış,Hacim,Haftanın Günü,Ay,Ay Başı,Ay Sonu,H-L
0,2003-01-02,10369.900391,10642.299805,10247.400391,10598.599609,10598.599609,178541100.0,3,4,0,0,1
1,2003-01-03,10598.599609,10837.5,10549.599609,10837.5,10837.5,180109700.0,0,4,0,0,1
2,2003-01-06,10837.5,10837.5,10271.900391,10357.299805,10357.299805,117221300.0,1,4,0,0,1
3,2003-01-07,10357.299805,10357.299805,9665.400391,9752.900391,9752.900391,151279600.0,4,4,0,0,1
4,2003-01-08,9752.900391,10161.200195,9690.700195,10161.200195,10161.200195,154326700.0,5,4,0,0,1
5,2003-01-09,10161.200195,10228.700195,9889.299805,10225.799805,10225.799805,165609300.0,3,4,0,0,1
6,2003-01-10,10225.799805,10354.5,10102.400391,10204.099609,10204.099609,194338100.0,0,4,0,0,1
7,2003-01-13,10204.099609,10412.700195,10098.900391,10412.700195,10412.700195,137108900.0,1,4,0,0,1
8,2003-01-14,10412.700195,10504.900391,10037.700195,10124.900391,10124.900391,176817300.0,4,4,0,0,1
9,2003-01-15,10124.900391,10396.099609,10091.400391,10280.700195,10280.700195,118955700.0,5,4,0,0,1
10,2003-01-16,10280.700195,10475.5,10268.900391,10467.900391,10467.900391,106559700.0,3,4,0,0,1
11,2003-01-17,10467.900391,10467.900391,10209.599609,10348.299805,10348.299805,86225400.0,0,4,0,0,1
12,2003-01-20,10348.299805,10590.299805,10144.400391,10590.299805,10590.299805,117368800.0,1,4,0,0,1
13,2003-01-21,10590.299805,10764.299805,10455.900391,10570.400391,10570.400391,133138100.0,4,4,0,0,1
14,2003-01-22,10570.400391,10665.599609,10397.299805,10544.700195,10544.700195,111048000.0,5,4,0,0,1
15,2003-01-23,10544.700195,10881.900391,10505.700195,10881.900391,10881.900391,167968700.0,3,4,0,0,1
16,2003-01-24,10881.900391,10881.900391,10626.700195,10825.900391,10825.900391,160149700.0,0,4,0,0,1
17,2003-01-27,10825.900391,11018.799805,10642.0,10931.099609,10931.099609,199265200.0,1,4,0,0,1
18,2003-01-28,10931.099609,10936.099609,10634.599609,10742.900391,10742.900391,202351200.0,4,4,0,0,1
19,2003-01-29,10742.900391,10742.900391,10549.299805,10725.700195,10725.700195,166770300.0,5,4,0,0,1
20,2003-01-30,10725.700195,10945.700195,10660.599609,10945.700195,10945.700195,261761800.0,3,4,0,0,1
21,2003-01-31,10945.700195,11032.0,10764.599609,11032.0,11032.0,157691200.0,0,4,0,1,1
22,2003-02-03,11032.0,11163.400391,10851.599609,11122.0,11122.0,143610500.0,1,3,0,0,1
23,2003-02-04,11122.0,11161.799805,10538.5,10658.299805,10658.299805,188158600.0,4,3,0,0,1
24,2003-02-05,10658.299805,10659.900391,10357.599609,10659.900391,10659.900391,127817000.0,5,3,0,0,1
25,2003-02-06,10659.900391,10921.799805,10659.900391,10921.799805,10921.799805,180598900.0,3,3,0,0,1
26,2003-02-07,10921.799805,11018.700195,10814.099609,11013.799805,11013.799805,135217100.0,0,3,0,0,1
27,2003-02-10,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0
28,2003-02-11,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0,0
29,2003-02-12,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0
30,2003-02-13,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0
31,2003-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0
32,2003-02-17,11013.799805,11302.5,10810.900391,11302.5,11302.5,165023100.0,1,3,0,0,1
