,Tarih,Açılış,Yüksek,Düşük,Kapanış,Adj Kapanış,Hacim,Haftanın Günü,Ay,Ay Başı,Ay Sonu,H-L
0,1998-01-05,3451.300049,3714.699951,3451.300049,3711.399902,3711.399902,7303200.0,1,4,0,0,1
1,1998-01-06,3711.399902,3769.5,3626.399902,3652.0,3652.0,8050400.0,4,4,0,0,1
2,1998-01-07,3652.0,3715.899902,3623.300049,3682.600098,3682.600098,6260900.0,5,4,0,0,1
3,1998-01-08,3682.600098,3792.600098,3571.899902,3590.100098,3590.100098,8944000.0,3,4,0,0,1
4,1998-01-09,3590.100098,3621.699951,3520.5,3587.100098,3587.100098,4521600.0,0,4,0,0,1
5,1998-01-12,3587.100098,3587.100098,3175.300049,3199.699951,3199.699951,4710500.0,1,4,0,0,1
6,1998-01-13,3199.699951,3413.899902,3199.699951,3413.899902,3413.899902,4316200.0,4,4,0,0,0
7,1998-01-14,3413.899902,3448.699951,3243.199951,3284.899902,3284.899902,3335500.0,5,4,0,0,1
8,1998-01-15,3284.899902,3303.100098,3209.699951,3294.600098,3294.600098,2843300.0,3,4,0,0,1
9,1998-01-16,3294.600098,3384.800049,3220.800049,3384.800049,3384.800049,2605300.0,0,4,0,0,0
10,1998-01-19,3384.800049,3536.899902,3384.800049,3513.100098,3513.100098,4976900.0,1,4,0,0,1
11,1998-01-20,3513.100098,3536.600098,3447.399902,3477.899902,3477.899902,4511400.0,4,4,0,0,1
12,1998-01-21,3477.899902,3548.800049,3472.600098,3523.899902,3523.899902,4931400.0,5,4,0,0,1
13,1998-01-22,3523.899902,3551.600098,3430.5,3452.199951,3452.199951,5186500.0,3,4,0,0,1
14,1998-01-23,3452.199951,3503.699951,3434.600098,3459.800049,3459.800049,4685800.0,0,4,0,0,1
15,1998-01-26,3459.800049,3576.199951,3459.800049,3517.199951,3517.199951,4772600.0,1,4,0,0,1
16,1998-01-27,3517.0,3530.300049,3468.0,3515.399902,3515.399902,3684400.0,4,4,0,0,1
17,1998-01-28,3515.399902,3547.199951,3483.600098,3547.199951,3547.199951,2017400.0,5,4,0,0,0
18,1998-01-29,,,,,,,3,4,0,0,0
19,1998-01-30,,,,,,,0,4,0,0,0
20,1998-02-02,3547.199951,3547.199951,3205.199951,3367.199951,3367.199951,5342700.0,1,3,0,0,1
21,1998-02-03,3367.199951,3448.100098,3208.100098,3249.100098,3249.100098,5365100.0,4,3,0,0,1
22,1998-02-04,3249.100098,3249.100098,2997.399902,3034.800049,3034.800049,4382800.0,5,3,0,0,1
23,1998-02-05,3034.800049,3034.800049,2739.600098,2981.5,2981.5,5348300.0,3,3,0,0,1
24,1998-02-06,2981.5,3005.600098,2872.800049,2986.600098,2986.600098,3460600.0,0,3,0,0,1
25,1998-02-09,2986.600098,2986.600098,2830.800049,2847.5,2847.5,2479100.0,1,3,0,0,1
26,1998-02-10,2847.5,2892.800049,2631.699951,2777.100098,2777.100098,3529000.0,4,3,0,0,1
27,1998-02-11,2777.100098,2926.899902,2740.699951,2926.899902,2926.899902,4141800.0,5,3,0,0,0
28,1998-02-12,2926.899902,3048.699951,2855.5,3008.0,3008.0,5629600.0,3,3,0,0,1
29,1998-02-13,3008.0,3069.199951,2972.399902,3014.600098,3014.600098,4331400.0,0,3,0,0,1
30,1998-02-16,3014.600098,3061.600098,2986.100098,3037.100098,3037.100098,2934500.0,1,3,0,0,1
31,1998-02-17,3037.100098,3113.5,3037.100098,3103.199951,3103.199951,4352100.0,4,3,0,0,1
32,1998-02-18,3103.199951,3158.0,3088.100098,3105.100098,3105.100098,4315200.0,5,3,0,0,1
33,1998-02-19,3105.100098,3105.100098,2872.300049,2908.399902,2908.399902,3681800.0,3,3,0,0,1
34,1998-02-20,2908.399902,2973.0,2813.699951,2973.0,2973.0,3308100.0,0,3,0,0,0
35,1998-02-23,2973.0,3330.300049,2973.0,3306.800049,3306.800049,6057600.0,1,3,0,0,1
36,1998-02-24,3306.800049,3309.300049,3196.0,3225.699951,3225.699951,5524200.0,4,3,0,0,1
37,1998-02-25,3225.699951,3333.399902,3201.899902,3333.399902,3333.399902,4631300.0,5,3,0,0,0
38,1998-02-26,3333.399902,3426.600098,3333.399902,3402.399902,3402.399902,7115100.0,3,3,0,0,1
39,1998-02-27,3402.399902,3413.199951,3242.600098,3272.199951,3272.199951,5116400.0,0,3,0,0,1
40,1998-03-02,3272.199951,3398.5,3272.199951,3346.699951,3346.699951,4647500.0,1,7,0,0,1
41,1998-03-03,3346.699951,3364.100098,3282.5,3353.600098,3353.600098,3548300.0,4,7,0,0,1
42,1998-03-04,3353.600098,3402.300049,3295.300049,3320.600098,3320.600098,4011200.0,5,7,0,0,1
43,1998-03-05,3320.600098,3406.100098,3320.600098,3406.100098,3406.100098,5037400.0,3,7,0,0,0
44,1998-03-06,3406.100098,3469.800049,3405.800049,3469.800049,3469.800049,5972800.0,0,7,0,0,0
45,1998-03-09,3469.800049,3545.699951,3469.800049,3514.0,3514.0,7535700.0,1,7,0,0,1
46,1998-03-10,3514.0,3572.600098,3490.699951,3529.399902,3529.399902,7825700.0,4,7,0,0,1
47,1998-03-11,3529.399902,3563.0,3480.100098,3519.300049,3519.300049,4615100.0,5,7,0,0,1
48,1998-03-12,3519.300049,3554.800049,3462.399902,3492.899902,3492.899902,4310100.0,3,7,0,0,1
49,1998-03-13,3492.899902,3492.899902,3308.600098,3389.199951,3389.199951,4337500.0,0,7,0,0,1
50,1998-03-16,3389.199951,3418.5,3329.0,3377.399902,3377.399902,4205100.0,1,7,0,0,1
51,1998-03-17,3377.399902,3425.699951,3356.5,3397.5,3397.5,4713300.0,4,7,0,0,1
52,1998-03-18,3397.5,3397.5,3272.300049,3305.699951,3305.699951,3692200.0,5,7,0,0,1
53,1998-03-19,3305.699951,3305.699951,3201.5,3247.699951,3247.699951,3503000.0,3,7,0,0,1
54,1998-03-20,3247.699951,3274.600098,3134.300049,3269.800049,3269.800049,3604600.0,0,7,0,0,1
55,1998-03-23,3269.800049,3301.399902,3254.5,3266.800049,3266.800049,3577500.0,1,7,0,0,1
56,1998-03-24,3266.800049,3319.199951,3213.100098,3241.100098,3241.100098,4359400.0,4,7,0,0,1
57,1998-03-25,3241.100098,3308.399902,3218.0,3300.899902,3300.899902,3614600.0,5,7,0,0,1
58,1998-03-26,3300.899902,3351.699951,3280.899902,3338.199951,3338.199951,5180300.0,3,7,0,0,1
59,1998-03-27,3338.199951,3347.699951,3294.199951,3313.800049,3313.800049,4889500.0,0,7,0,0,1
60,1998-03-30,3313.800049,3333.699951,3191.0,3222.800049,3222.800049,3310200.0,1,7,0,0,1
61,1998-03-31,3222.800049,3259.100098,3188.399902,3259.100098,3259.100098,2460100.0,4,7,0,1,0
62,1998-04-01,3259.100098,3286.800049,3229.100098,3260.300049,3260.300049,5612600.0,5,0,1,0,1
63,1998-04-02,3260.300049,3397.199951,3260.0,3344.399902,3344.399902,4713300.0,3,0,0,0,1
64,1998-04-03,3344.399902,3443.199951,3337.699951,3443.0,3443.0,5327000.0,0,0,0,0,1
65,1998-04-06,,,,,,,1,0,0,0,0
66,1998-04-07,,,,,,,4,0,0,0,0
67,1998-04-08,,,,,,,5,0,0,0,0
68,1998-04-09,,,,,,,3,0,0,0,0
69,1998-04-10,,,,,,,0,0,0,0,0
70,1998-04-13,3443.0,3645.399902,3443.0,3645.399902,3645.399902,6328300.0,1,0,0,0,0
71,1998-04-14,3645.399902,3680.100098,3591.100098,3663.0,3663.0,7568200.0,4,0,0,0,1
72,1998-04-15,3663.0,3829.5,3663.0,3821.800049,3821.800049,9131600.0,5,0,0,0,1
73,1998-04-16,3821.800049,4095.899902,3821.800049,4054.399902,4054.399902,12815800.0,3,0,0,0,1
74,1998-04-17,4054.399902,4211.299805,4054.399902,4120.899902,4120.899902,9095900.0,0,0,0,0,1
75,1998-04-20,4120.899902,4231.0,4041.800049,4101.299805,4101.299805,11313300.0,1,0,0,0,1
76,1998-04-21,4101.299805,4266.0,4047.600098,4265.700195,4265.700195,7922800.0,4,0,0,0,1
77,1998-04-22,4265.700195,4428.299805,4265.700195,4365.799805,4365.799805,12617900.0,5,0,0,0,1
78,1998-04-23,,,,,,,3,0,0,0,0
79,1998-04-24,4365.799805,4366.0,4026.600098,4089.600098,4089.600098,8939200.0,0,0,0,0,1
80,1998-04-27,4089.600098,4103.600098,3914.699951,4020.899902,4020.899902,6633200.0,1,0,0,0,1
81,1998-04-28,4020.899902,4063.699951,3841.399902,3873.600098,3873.600098,6131300.0,4,0,0,0,1
